Fecha,Hora,Demanda,Generación,Pronóstico,PML
25/03/2020,6,6238.58,11177.58,5703.83,577.23
25/03/2020,7,6341.58,11287.67,5813.33,541.29
25/03/2020,8,6521.67,11184.42,5955.92,362.31
25/03/2020,9,6716.25,11288.5,6124.75,367.92
25/03/2020,10,6970.17,11387.5,6272,374.8
25/03/2020,11,7183,11369,6526.5,375.13
25/03/2020,12,7421.58,11275.33,6662.92,389.33
25/03/2020,13,7534,11608.36,6832,487.47
25/03/2020,14,7572,11821.42,6926.42,403.26
25/03/2020,15,7542.25,11882.67,7006.5,393.21
25/03/2020,16,7563.33,11839.75,7058.83,506.4
25/03/2020,17,7572.89,12074.89,7047.89,615.95
25/03/2020,18,6780.75,12378.42,6386.92,603.19
25/03/2020,19,6771.42,12383.08,6205.33,651.01
25/03/2020,20,7323.67,12779,6774,614.46
25/03/2020,21,7333.58,12880.83,6711.67,501.19
25/03/2020,22,7263.75,12972.75,6552.92,600.54
25/03/2020,23,7345.33,12726.92,6458.33,563.88
26/03/2020,0,7047.17,12341,537.58,423.49
26/03/2020,1,6737.33,12048.58,5542.17,420.62
26/03/2020,2,6607.25,11818.08,5869.08,397.54
26/03/2020,3,6485.17,11257.92,5705.42,402.05
26/03/2020,4,6431.92,11265.25,5619.58,387.15
26/03/2020,5,6254.92,11924.5,5579.08,411.35
26/03/2020,6,6328.83,11935.42,5581.5,409.04
26/03/2020,7,6314.33,11718.75,5604,372.87
26/03/2020,8,6549.08,11712.83,5716,355.44
26/03/2020,9,6578.92,11437.33,5879.08,357.49
26/03/2020,10,6685.33,11530.08,6121.25,361.61
26/03/2020,11,6926.5,11836.58,6320.75,362.27
26/03/2020,12,7137.25,12156.67,6465.33,362.41
26/03/2020,13,7331.5,12109.75,6610.83,368.64
26/03/2020,14,7422.17,12187.67,6747.67,375.56
26/03/2020,15,7627.17,12348.5,6870.83,406.9
26/03/2020,16,7583.57,12575.43,6929,420.91
26/03/2020,17,7403.4,12781.2,6922,441.36
26/03/2020,18,7263.83,13025.5,6826.67,449.06
26/03/2020,19,7286.25,13152.83,6674.08,550.21
26/03/2020,20,7270.25,12903.58,6639.92,467.51
26/03/2020,21,7271,12903,6638,455.65
26/03/2020,22,7271,12903,6638,439.06
26/03/2020,23,7271,12903,6638,435.55
27/03/2020,0,7271,12903,6638,469.91
27/03/2020,1,7271,12903,6638,441.09
27/03/2020,2,7271,12903,6638,420.78
27/03/2020,3,7271,12903,6638,434.63
27/03/2020,4,7271,12903,6638,422.01
27/03/2020,5,7271,12903,6638,434.22
27/03/2020,6,7271,12903,6638,543.72
27/03/2020,7,7271,12903,6638,546.65
27/03/2020,8,7271,12903,6638,402.97
27/03/2020,9,7141.67,12497.67,6534.67,370.32
27/03/2020,10,6984.25,11751.25,6473.83,375.07
27/03/2020,11,7098.17,11806.08,6738.42,379.02
27/03/2020,12,7151.67,11698.33,6901.5,394.95
27/03/2020,13,7423.17,11442.58,6999,503.53
27/03/2020,14,7533.25,11203.83,7195,568.98
27/03/2020,15,7586.08,11350.67,7321.75,471.58
27/03/2020,16,7634,11305.75,7395.25,637.68
27/03/2020,17,7384,11231.83,7412,635.72
27/03/2020,18,7085.92,11502.75,7293.83,627.63
27/03/2020,19,7242.33,12031.92,7082.25,630.86
27/03/2020,20,7267.92,11851.92,7037.42,500.8
27/03/2020,21,7223.33,11935.42,7009.17,498.28
27/03/2020,22,7181.75,12000.42,6976.5,609.35
27/03/2020,23,7204.67,11921.92,6945.58,500.91
